,date,high,low,open,close,volume,quoteVolume,weightedAverage
0,1424361600,225.0,225.0,225.0,225.0,0.999999,0.00444444,225.0
1,1424376000,244.0,225.0,225.0,244.0,45.27631367,0.18867304,239.97235466
2,1424390400,244.0,244.0,244.0,244.0,0.0,0.0,244.0
3,1424404800,240.25011809,240.25011568,240.25011809,240.25011568,10.57100509,0.044,240.25011569
4,1424419200,245.0,240.25,244.0,240.25,45.32389191,0.18642935,243.11564631
5,1424433600,240.25,240.25,240.25,240.25,0.0,0.0,240.25
6,1424448000,240.25,240.25,240.25,240.25,0.0,0.0,240.25
7,1424462400,240.25,240.25,240.25,240.25,0.0,0.0,240.25
8,1424476800,240.25,240.25,240.25,240.25,0.0,0.0,240.25
9,1424491200,240.25,240.25,240.25,240.25,0.0,0.0,240.25
10,1424505600,240.25,240.25,240.25,240.25,0.0,0.0,240.25
11,1424520000,240.25,240.25,240.25,240.25,0.0,0.0,240.25
12,1424534400,245.0,245.0,245.0,245.0,14.72223865,0.06009077,245.0
13,1424548800,245.0,245.0,245.0,245.0,0.0,0.0,245.0
14,1424563200,249.0,245.0,245.0,249.0,4.99300143,0.02021607,246.98180358
15,1424577600,249.0,249.0,249.0,249.0,0.0,0.0,249.0
16,1424592000,245.0,245.0,245.0,245.0,4.4570302,0.01819196,245.0
17,1424606400,245.00001722,244.0,245.00001722,244.0,51.03221976,0.20900653,244.1656716
18,1424620800,235.50000711,235.5,235.50000711,235.5,48.73875501,0.20695862,235.5
19,1424635200,235.001,235.0,235.001,235.0,19.90024144,0.08468181,235.00019008
20,1424649600,235.001,235.0,235.00000236,235.0,93.74860118,0.39893011,235.0000635
21,1424664000,235.00002596,235.00002596,235.00002596,235.00002596,0.0417266,0.00017756,235.00002596
22,1424678400,235.00002596,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596
23,1424692800,235.00002596,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596
24,1424707200,235.00002596,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596
25,1424721600,235.0,235.0,235.0,235.0,2.7772347,0.01181802,235.0
26,1424736000,235.0,235.0,235.0,235.0,0.93876155,0.00399473,235.0
27,1424750400,235.0,235.0,235.0,235.0,0.0,0.0,235.0
28,1424764800,235.0,235.0,235.0,235.0,0.0,0.0,235.0
29,1424779200,238.00003776,238.00003776,238.00003776,238.00003776,16.77681306,0.0704908,238.00003776
30,1424793600,238.00003776,238.00003776,238.00003776,238.00003776,131.4164499,0.55216987,238.00003776
31,1424808000,239.75,239.75,239.75,239.75,0.02236867,9.33e-05,239.75
32,1424822400,239.75,239.75,239.75,239.75,0.0,0.0,239.75
33,1424836800,239.75,239.75,239.75,239.75,0.0,0.0,239.75
34,1424851200,239.75,237.75,239.75,237.75,221.58409525,0.92755033,238.89172165
35,1424865600,237.75,237.75,237.75,237.75,0.0,0.0,237.75
36,1424880000,237.75,237.75,237.75,237.75,0.0,0.0,237.75
37,1424894400,237.75,237.75,237.75,237.75,0.0,0.0,237.75
38,1424908800,237.75,237.75,237.75,237.75,0.0,0.0,237.75
39,1424923200,237.75,237.75,237.75,237.75,0.0,0.0,237.75
40,1424937600,237.75,237.75,237.75,237.75,0.00305271,1.284e-05,237.75
41,1424952000,239.79999999,237.75,237.75,239.79999999,0.12346224,0.00051594,239.29574465
42,1424966400,238.5,238.5,238.5,238.5,0.02897298,0.00012148,238.5
43,1424980800,238.5,238.5,238.5,238.5,0.0,0.0,238.5
44,1424995200,248.6,238.49999999,238.49999999,248.6,364.20836166,1.50970167,241.24525321
45,1425009600,239.0,239.0,239.0,239.0,0.14654046,0.00061314,239.0
46,1425024000,249.0,239.0,239.0,249.0,2.12450398,0.00871082,243.89253594
47,1425038400,249.0,239.0,249.0,239.0,5.62000078,0.02320042,242.2370276
48,1425052800,249.0,249.0,249.0,249.0,11.65601619,0.04681131,249.0
49,1425067200,249.0,249.0,249.0,249.0,0.0,0.0,249.0
50,1425081600,240.0,240.0,240.0,240.0,0.0199248,8.302e-05,240.0
51,1425096000,240.0,240.0,240.0,240.0,0.0,0.0,240.0
52,1425110400,240.0,240.0,240.0,240.0,0.0,0.0,240.0
53,1425124800,240.0,240.0,240.0,240.0,12.0742032,0.05030918,240.0
54,1425139200,240.0,240.0,240.0,240.0,0.0,0.0,240.0
55,1425153600,251.0,240.0,240.00005302,240.00006025,5.05320776,0.02093792,241.34239549
56,1425168000,240.00006025,240.00006025,240.00006025,240.00006025,0.0,0.0,240.00006025
57,1425182400,240.0001205,240.0001205,240.0001205,240.0001205,0.02208241,9.201e-05,240.0001205
58,1425196800,251.0,251.0,251.0,251.0,0.02619938,0.00010438,251.0
59,1425211200,251.0,251.0,251.0,251.0,0.0,0.0,251.0
60,1425225600,251.0,251.0,251.0,251.0,0.0,0.0,251.0
61,1425240000,251.0,251.0,251.0,251.0,0.26943344,0.00107344,251.0
62,1425254400,251.0,251.0,251.0,251.0,0.0,0.0,251.0
63,1425268800,251.0,251.0,251.0,251.0,0.0,0.0,251.0
64,1425283200,251.0,251.0,251.0,251.0,0.0,0.0,251.0
65,1425297600,252.0,252.0,252.0,252.0,0.10000116,0.00039683,252.0
66,1425312000,251.00000756,251.0,251.00000756,251.0,0.55125122,0.00219622,251.00000274
67,1425326400,269.0,252.0,252.0,269.0,97.4125524,0.3764387,258.77401127
68,1425340800,269.0,269.0,269.0,269.0,0.0,0.0,269.0
69,1425355200,268.0,268.0,268.0,268.0,44.71887128,0.16686146,268.0
70,1425369600,274.5,255.0,265.0,269.0,313.87891303,1.18732719,264.35755508
71,1425384000,269.0,258.87499998,269.0,258.87499998,67.7037823,0.25251499,268.11787414
72,1425398400,268.19999999,258.87499998,268.19999999,258.87499998,5.99270318,0.02278881,262.96692053
73,1425412800,267.21999999,267.21999999,267.21999999,267.21999999,10.68879999,0.04,267.21999999
74,1425427200,267.21999999,267.21999999,267.21999999,267.21999999,0.0,0.0,267.21999999
75,1425441600,267.21999999,267.21999999,267.21999999,267.21999999,0.0,0.0,267.21999999
76,1425456000,258.87499998,258.87499998,258.87499998,258.87499998,1.94957209,0.00753094,258.87499998
77,1425470400,258.87499998,258.87499998,258.87499998,258.87499998,0.0,0.0,258.87499998
78,1425484800,280.00000001,267.22,267.22,280.0,9.26787779,0.0333158,278.18265783
79,1425499200,280.0,280.0,280.0,280.0,234.6715728,0.83811276,280.0
80,1425513600,257.0,257.0,257.0,257.0,1.85383609,0.00721337,257.0
81,1425528000,257.0,257.0,257.0,257.0,29.70980395,0.11560235,257.0
82,1425542400,280.89,277.01999999,280.89,277.01999999,20.62650903,0.0734818,280.70228326
83,1425556800,277.01999999,277.01999999,277.01999999,277.01999999,0.0,0.0,277.01999999
84,1425571200,277.01999999,277.01999999,277.01999999,277.01999999,0.0,0.0,277.01999999
85,1425585600,277.00999998,257.00012,277.00999998,257.00012,65.25053604,0.25,261.00214418
86,1425600000,269.00014063,269.00014063,269.00014063,269.00014063,13.22419755,0.04916056,269.00014063
87,1425614400,269.00014063,269.00014063,269.00014063,269.00014063,0.0,0.0,269.00014063
88,1425628800,270.00199997,268.70014063,268.70014063,270.00199997,29.08092449,0.10774763,269.89850721
89,1425643200,270.00199997,270.00199997,270.00199997,270.00199997,0.0,0.0,270.00199997
90,1425657600,270.00199997,270.00199997,270.00199997,270.00199997,0.0,0.0,270.00199997
91,1425672000,271.00199999,260.0,263.00016695,260.0,41.89282675,0.16036726,261.23054518
92,1425686400,260.00000522,260.00000522,260.00000522,260.00000522,0.0013,5e-06,260.00000522
93,1425700800,260.00000522,260.00000522,260.00000522,260.00000522,0.1100008,0.00042308,260.00000522
94,1425715200,260.00000522,260.00000522,260.00000522,260.00000522,0.070694,0.0002719,260.00000522
95,1425729600,260.00000522,260.00000522,260.00000522,260.00000522,0.0,0.0,260.00000522
96,1425744000,260.00000522,260.00000522,260.00000522,260.00000522,0.0,0.0,260.00000522
97,1425758400,260.00000522,260.00000522,260.00000522,260.00000522,0.0,0.0,260.00000522
98,1425772800,260.00000522,260.00000522,260.00000522,260.00000522,0.0,0.0,260.00000522
99,1425787200,260.00000522,260.00000522,260.00000522,260.00000522,0.0,0.0,260.00000522
100,1425801600,260.00000522,260.00000522,260.00000522,260.00000522,0.0,0.0,260.00000522
101,1425816000,265.00000001,260.000401,265.0,260.000401,1.2984817,0.00490264,264.85357023
102,1425830400,275.002,260.000401,260.00040101,275.002,10.20678478,0.03925117,260.03772087
103,1425844800,260.00040101,260.000031,260.00040101,260.00003101,19.39508238,0.07459644,260.0001071
104,1425859200,260.00003101,260.00003101,260.00003101,260.00003101,0.0,0.0,260.00003101
105,1425873600,260.00003101,260.00003101,260.00003101,260.00003101,0.0,0.0,260.00003101
106,1425888000,276.15018646,260.00003101,260.00003101,276.15018646,29.02858078,0.1075537,269.89848594
107,1425902400,262.00000001,262.00000001,262.00000001,262.00000001,0.1349955,0.00051525,262.00000001
108,1425916800,280.99999999,262.59000002,280.99999999,262.59000002,1.32409976,0.0050105,264.26499586
109,1425931200,285.0,264.00000533,280.99999998,264.00000533,97.87936152,0.34560246,283.21372923
110,1425945600,264.00000533,264.00000533,264.00000533,264.00000533,0.0,0.0,264.00000533
111,1425960000,290.99999997,264.00006385,264.00006385,264.00006389,0.28665004,0.00105,273.00004256
112,1425974400,279.00006387,264.00006385,264.00006385,279.00006387,12.493053,0.04479141,278.91626991
113,1425988800,279.00006387,279.00006387,279.00006387,279.00006387,0.0,0.0,279.00006387
114,1426003200,291.0,289.44944439,289.44944439,291.0,42.18205645,0.14545458,290.00156925
115,1426017600,291.0,291.0,291.0,291.0,0.0,0.0,291.0
116,1426032000,292.95011128,279.00010602,279.00010602,292.95011128,23.53229393,0.08229267,285.95856633
117,1426046400,292.95011129,279.00010602,292.95011128,279.00010602,1.12163008,0.00387636,289.35137296
118,1426060800,279.00011726,279.00011726,279.00011726,279.00011726,0.14350371,0.00051435,279.00011726
119,1426075200,289.00010602,279.00018189,279.00018189,289.00010602,3.45099816,0.01212923,284.51914658
120,1426089600,288.00010602,279.00019875,279.00023515,288.00010602,7.00351022,0.02490387,281.22176287
121,1426104000,289.00010602,276.00000001,289.00010602,276.00000001,7.26000042,0.02557093,283.91616655
122,1426118400,289.00010602,276.0,289.00010602,276.0,2.80202061,0.0101454,276.18631255
123,1426132800,276.0,276.0,276.0,276.0,0.0552,0.0002,276.0
124,1426147200,276.00000112,276.00000112,276.00000112,276.00000112,0.05267184,0.00019084,276.00000112
125,1426161600,276.00000112,276.00000112,276.00000112,276.00000112,0.0,0.0,276.00000112
126,1426176000,276.00000112,276.00000112,276.00000112,276.00000112,0.0,0.0,276.00000112
127,1426190400,276.00000112,276.00000112,276.00000112,276.00000112,0.0,0.0,276.00000112
128,1426204800,300.99999959,276.0,276.00000111,300.99999959,55.51403242,0.19438516,285.58781145
129,1426219200,300.9999995,300.99999949,300.99999949,300.9999995,0.10823056,0.00035957,300.99999949
130,1426233600,300.9999995,300.9999995,300.9999995,300.9999995,0.0,0.0,300.9999995
131,1426248000,300.9999995,300.9999995,300.9999995,300.9999995,0.0,0.0,300.9999995
132,1426262400,300.9999995,300.9999995,300.9999995,300.9999995,0.27089999,0.0009,300.9999995
133,1426276800,275.1100001,275.11000009,275.1100001,275.11000009,1.71999322,0.00625202,275.11000009
134,1426291200,275.11000009,275.11000009,275.11000009,275.11000009,0.0,0.0,275.11000009
